14 16 28918 1269 20
12 12 43.680482
25 65 43.555756
32 54 5.608685
42 97 6.792530
71 86 29.289597
83 71 46.586473
52 2 25.282107
63 71 33.603761
35 97 17.978104
54 84 8.719207
85 90 38.199703
20 37 11.765129
87 86 19.971708
18 36 16.814009
0 13 3.490404 37.335062
0 2 47.271523 57.030716
1 9 12.284367 46.536716
1 4 12.645854 93.998301
2 11 11.004915 31.411767
2 10 24.084589 127.451438
2 3 42.679933 73.241040
4 12 6.886818 29.170809
4 5 34.839262 21.333906
5 6 11.138624 76.313463
7 12 29.732172 51.867156
7 11 16.913899 63.287350
7 9 25.703202 20.028580
8 12 1.535636 80.399094
8 10 45.604814 88.321361
10 12 12.927353 6.113378
