13 17 26260 1355 20
93 57 17.668893
41 71 38.552153
57 70 13.634473
91 58 44.942814
54 58 43.291523
38 57 30.711300
91 9 1.874172
79 51 23.881473
5 54 0.517332
16 79 34.560098
49 93 35.707971
37 14 9.705691
82 11 16.951617
0 12 32.294145 74.025203
0 5 15.586559 105.990218
0 3 30.074513 3.927486
0 2 41.368548 65.747386
0 1 39.168142 77.037609
1 10 6.646142 24.228766
1 3 30.909799 76.062763
3 7 23.239591 19.014097
3 6 29.884203 83.759362
4 9 24.020890 78.938722
4 7 35.851298 48.557721
5 7 24.229977 55.784083
6 12 41.193886 16.175777
7 10 22.285568 77.160079
8 9 34.452999 42.008410
9 10 5.157672 63.977523
11 12 35.591929 60.205776
