12 13 7725 964 20
63 85 7.159249
89 66 14.064004
57 26 41.463770
63 41 13.409935
42 11 17.420803
72 60 9.529385
19 21 43.587130
67 52 12.340762
21 55 12.062905
12 47 36.433373
8 53 3.819634
52 75 15.541040
0 11 4.586344 24.384274
0 10 29.576607 78.431414
0 8 21.097355 54.969969
1 11 48.080704 51.157913
1 8 11.489036 126.158237
1 5 23.378040 27.144542
1 4 28.788471 93.140406
1 3 37.597110 45.410258
2 4 19.256971 33.977511
3 7 37.245011 13.314874
6 10 48.342093 56.388051
7 9 0.741778 55.950216
9 10 44.242076 8.346343
