13 17 15172 2715 20
93 57 23.688637
41 71 31.838907
57 70 26.337813
91 58 15.626580
54 58 8.163389
38 57 26.117583
91 9 40.523450
79 51 9.462264
5 54 13.029242
16 79 21.510437
49 93 36.760804
37 14 34.822929
82 11 17.930976
0 12 16.602635 57.227589
0 5 43.866802 107.202308
0 3 47.363945 3.892010
0 2 43.461645 46.678039
0 1 14.736037 82.293447
1 10 28.166144 28.535799
1 3 13.548522 96.918765
3 7 32.782596 22.034261
3 6 31.170345 78.376026
4 9 11.814444 49.035764
4 7 22.097813 29.859972
5 7 33.625741 57.993008
6 12 29.440097 11.546790
7 10 34.131700 99.774913
8 9 31.477912 36.162905
9 10 26.699102 37.325707
11 12 49.519319 88.468436
