14 16 1086 1889 20
12 12 28.704409
25 65 40.631270
32 54 14.498545
42 97 38.922490
71 86 4.220376
83 71 20.879732
52 2 49.800468
63 71 40.285180
35 97 28.847208
54 84 36.369195
85 90 0.230209
20 37 31.336659
87 86 42.952614
18 36 41.488289
0 13 21.893770 42.778612
0 2 41.127316 89.928450
1 9 38.762390 64.379675
1 4 13.512019 89.209922
2 11 22.504810 29.265852
2 10 18.258334 113.907074
2 3 42.982903 51.925980
4 12 25.162775 19.210130
4 5 38.736065 37.881420
5 6 13.099941 99.538367
7 12 20.014421 43.957761
7 11 27.459023 92.071753
7 9 12.826881 19.068408
8 12 10.529809 67.850326
8 10 6.780832 95.081864
10 12 30.624684 4.652640
