13 17 21189 584 20
93 57 24.898830
41 71 1.009518
57 70 31.531914
91 58 19.701427
54 58 31.979816
38 57 11.799491
91 9 23.107540
79 51 7.949085
5 54 6.611033
16 79 29.423391
49 93 42.351319
37 14 16.902207
82 11 5.720626
0 12 20.437171 48.326005
0 5 39.976291 81.078970
0 3 34.406065 4.344493
0 2 9.627662 71.531721
0 1 8.120082 85.557801
1 10 4.471435 33.348935
1 3 34.954461 63.407154
3 7 16.149103 17.628255
3 6 45.460600 68.960646
4 9 21.377524 79.059810
4 7 10.749360 39.976838
5 7 38.792005 44.219041
6 12 11.306425 15.462448
7 10 13.280291 98.482555
8 9 12.305244 29.311080
9 10 4.745627 49.469375
11 12 42.709072 74.633475
