14 16 30147 694 20
12 12 41.552897
25 65 44.300803
32 54 44.089226
42 97 3.272979
71 86 29.423270
83 71 41.185636
52 2 42.595897
63 71 41.910162
35 97 39.442361
54 84 4.376176
85 90 29.238539
20 37 11.308476
87 86 42.442027
18 36 16.909575
0 13 26.714394 34.850688
0 2 1.237467 71.073779
1 9 28.599633 53.636948
1 4 28.772792 72.320157
2 11 16.405591 39.212269
2 10 46.265413 76.937215
2 3 23.980524 76.569754
4 12 46.979981 28.285953
4 5 29.946501 19.830539
5 6 45.706056 138.096694
7 12 20.704054 47.105460
7 11 25.815377 95.264367
7 9 26.334053 19.800354
8 12 41.852755 85.244790
8 10 22.633580 88.497257
10 12 8.080306 5.255863
