14 16 44261 1400 20
12 12 12.596482
25 65 43.594223
32 54 18.685786
42 97 40.634480
71 86 26.894287
83 71 28.331376
52 2 28.122973
63 71 10.089719
35 97 21.369439
54 84 14.400363
85 90 48.289742
20 37 37.557257
87 86 24.664794
18 36 12.961058
0 13 30.255681 48.658230
0 2 33.893102 62.519974
1 9 30.715150 68.102979
1 4 0.760964 62.198778
2 11 41.843339 34.394810
2 10 20.011921 69.662386
2 3 46.514548 70.990845
4 12 17.029295 19.054400
4 5 22.141481 22.015146
5 6 25.988923 91.715989
7 12 37.517804 35.533634
7 11 40.898934 59.554472
7 9 25.689737 30.866209
8 12 45.897264 58.783959
8 10 29.964091 63.863807
10 12 11.591614 5.264448
