12 13 40577 317 20
63 85 2.666872
89 66 44.192664
57 26 8.054221
63 41 36.028299
42 11 45.381044
72 60 41.871417
19 21 44.563193
67 52 11.175115
21 55 31.077104
12 47 7.664705
8 53 32.494618
52 75 8.843819
0 11 49.007746 25.074593
0 10 33.847069 106.685259
0 8 47.710159 99.126507
1 11 10.589106 70.678760
1 8 10.750681 104.795755
1 5 38.419267 22.764905
1 4 48.649641 139.045742
1 3 42.369035 45.683003
2 4 8.835228 27.203392
3 7 16.785883 20.618993
6 10 46.134196 35.886995
7 9 48.408935 58.335171
9 10 47.377375 12.692350
