12 13 29294 2842 20
63 85 2.341978
89 66 44.516610
57 26 25.407622
63 41 39.561089
42 11 45.683598
72 60 32.302375
19 21 8.758485
67 52 16.956610
21 55 21.807159
12 47 7.511608
8 53 12.957212
52 75 18.600529
0 11 1.513176 25.176533
0 10 38.055294 78.672483
0 8 42.025199 70.522699
1 11 4.053067 65.151705
1 8 34.201236 118.242328
1 5 49.577017 24.721317
1 4 2.518077 140.733031
1 3 26.082811 48.445431
2 4 22.141376 25.528615
3 7 12.513502 18.179402
6 10 3.066179 45.111257
7 9 12.341584 57.518266
9 10 10.833076 12.312028
