14 16 33790 707 20
12 12 43.650516
25 65 36.544285
32 54 20.309299
42 97 3.290714
71 86 26.735200
83 71 18.095235
52 2 32.967869
63 71 18.774282
35 97 19.158504
54 84 31.493789
85 90 26.171704
20 37 18.106514
87 86 37.564221
18 36 19.265099
0 13 31.625970 36.863272
0 2 28.065642 88.768796
1 9 37.768128 44.324520
1 4 4.530368 92.982014
2 11 41.312788 24.620114
2 10 13.984081 85.880830
2 3 25.371852 62.732680
4 12 28.514016 16.136162
4 5 44.076024 20.180566
5 6 22.837214 98.425276
7 12 41.793501 55.113358
7 11 30.334607 99.694483
7 9 10.090954 19.153214
8 12 36.739486 65.724486
8 10 49.392617 78.960084
10 12 2.702940 5.009202
