14 16 33883 460 20
12 12 15.306746
25 65 23.936230
32 54 44.599006
42 97 43.949233
71 86 41.166661
83 71 48.794144
52 2 14.385221
63 71 49.329542
35 97 33.323890
54 84 45.388991
85 90 17.583376
20 37 29.682031
87 86 13.132247
18 36 14.034677
0 13 36.880089 37.322083
0 2 2.202134 58.789470
1 9 43.111742 43.021311
1 4 26.392803 74.751621
2 11 45.098015 39.845637
2 10 12.395345 114.152935
2 3 14.102393 73.086795
4 12 12.318740 20.517730
4 5 29.424651 19.928955
5 6 46.472005 130.493252
7 12 27.421632 41.532470
7 11 37.759105 104.445768
7 9 28.590039 24.270852
8 12 44.334549 88.387638
8 10 46.280343 58.840365
10 12 33.704859 5.220702
