12 13 30948 423 20
63 85 49.714318
89 66 29.238124
57 26 4.253216
63 41 39.730946
42 11 39.419655
72 60 21.858864
19 21 23.741061
67 52 30.093318
21 55 14.476167
12 47 5.411349
8 53 47.302721
52 75 4.828579
0 11 9.150138 23.249482
0 10 14.685288 66.814485
0 8 43.318285 78.402185
1 11 21.011092 51.603490
1 8 10.601603 118.331228
1 5 31.845449 29.414194
1 4 33.738297 143.111814
1 3 15.918326 39.485302
2 4 20.322865 25.765465
3 7 10.444100 13.013192
6 10 9.842815 67.378593
7 9 38.980643 55.420150
9 10 23.916108 11.783184
