13 17 21078 286 20
93 57 23.529161
41 71 41.089267
57 70 31.199568
91 58 25.456815
54 58 16.685523
38 57 23.264380
91 9 21.121457
79 51 25.218630
5 54 27.124352
16 79 41.559023
49 93 44.528730
37 14 39.436730
82 11 44.963624
0 12 37.085578 80.529272
0 5 44.812137 67.652206
0 3 3.372286 2.264710
0 2 15.345868 73.079123
0 1 15.010403 74.612759
1 10 3.690187 35.968233
1 3 21.782766 99.766744
3 7 37.925869 22.046407
3 6 26.966572 77.564045
4 9 20.236252 53.363353
4 7 36.911845 30.201616
5 7 31.430520 72.035028
6 12 12.140405 10.700812
7 10 49.592325 60.444967
8 9 47.991602 30.956083
9 10 41.800733 67.790747
11 12 6.057955 76.739427
