14 16 2825 600 20
12 12 34.309748
25 65 24.131599
32 54 6.425162
42 97 12.435410
71 86 35.047090
83 71 35.060008
52 2 6.754781
63 71 18.789264
35 97 18.448712
54 84 28.463248
85 90 18.992424
20 37 10.083930
87 86 24.386520
18 36 49.945890
0 13 28.215083 45.253691
0 2 40.016224 69.436126
1 9 47.957817 52.611016
1 4 27.242239 71.963590
2 11 2.857108 33.269993
2 10 49.122974 78.949682
2 3 8.017094 57.559773
4 12 31.828122 26.951621
4 5 18.533563 34.321867
5 6 45.761413 84.660234
7 12 41.006811 45.831586
7 11 37.723754 88.609180
7 9 49.270133 18.909179
8 12 28.788499 70.357748
8 10 40.573522 59.932911
10 12 0.817666 7.042218
