13 17 21973 332 20
93 57 37.335022
41 71 25.045153
57 70 34.921921
91 58 29.119672
54 58 41.027928
38 57 33.184105
91 9 46.023539
79 51 20.080073
5 54 45.210237
16 79 42.902235
49 93 44.899146
37 14 14.305627
82 11 4.424476
0 12 41.465676 65.939049
0 5 7.757881 78.547314
0 3 43.429826 3.877980
0 2 23.805539 72.318859
0 1 8.402582 75.901736
1 10 11.827846 45.353649
1 3 29.932668 81.066981
3 7 22.943852 20.074568
3 6 17.058227 73.071642
4 9 49.608053 52.342059
4 7 39.398546 26.989663
5 7 35.164253 75.113116
6 12 10.716053 15.751054
7 10 28.324320 82.968900
8 9 44.680116 30.380360
9 10 25.322729 59.325750
11 12 4.155444 77.703314
