12 13 26565 1203 20
63 85 25.663104
89 66 25.750411
57 26 14.996338
63 41 49.678346
42 11 42.536938
72 60 0.618963
19 21 3.119070
67 52 32.818069
21 55 5.348192
12 47 25.222462
8 53 1.751473
52 75 45.931171
0 11 20.081384 15.335971
0 10 47.859481 97.911821
0 8 44.300493 97.487892
1 11 20.625569 39.033590
1 8 5.603061 131.858776
1 5 9.764024 24.537483
1 4 29.381629 105.887999
1 3 46.145860 36.448631
2 4 6.082356 37.407111
3 7 13.832512 14.086180
6 10 25.169518 55.380895
7 9 24.369704 70.150035
9 10 16.629927 10.930370
