14 16 35894 1086 20
12 12 15.689544
25 65 0.634705
32 54 39.943152
42 97 22.815396
71 86 34.648659
83 71 0.684465
52 2 28.833934
63 71 31.997777
35 97 2.889003
54 84 26.730719
85 90 7.156552
20 37 32.516515
87 86 6.919180
18 36 4.265547
0 13 32.399554 48.289889
0 2 5.936920 50.598020
1 9 26.193108 60.460240
1 4 29.821059 73.585994
2 11 5.981459 23.514400
2 10 38.706213 113.514678
2 3 23.735073 66.214127
4 12 47.005128 28.930638
4 5 6.097788 34.626014
5 6 30.071068 147.717160
7 12 32.288492 44.667929
7 11 7.747118 88.536943
7 9 33.644535 20.329103
8 12 21.442821 89.801173
8 10 41.397017 66.806283
10 12 13.761204 6.771562
