14 16 40653 610 20
12 12 20.572470
25 65 6.702665
32 54 23.389330
42 97 27.800087
71 86 28.661539
83 71 1.911686
52 2 1.836285
63 71 5.713911
35 97 46.460443
54 84 28.851663
85 90 19.435568
20 37 18.636770
87 86 48.084873
18 36 7.556504
0 13 46.820734 42.222782
0 2 16.340842 63.461003
1 9 9.594633 54.179192
1 4 42.127056 52.409241
2 11 49.032174 38.357211
2 10 37.589885 85.718104
2 3 22.600401 73.361239
4 12 1.089844 29.935002
4 5 14.119350 20.565921
5 6 26.920284 87.433017
7 12 36.454047 52.029974
7 11 43.755723 86.428030
7 9 25.292413 29.146068
8 12 11.603527 77.182709
8 10 20.692258 94.845222
10 12 29.266923 6.185861
