13 17 2583 596 20
93 57 6.614422
41 71 2.100273
57 70 39.148162
91 58 29.107489
54 58 23.505082
38 57 17.416941
91 9 39.369495
79 51 1.660678
5 54 48.258051
16 79 29.871094
49 93 11.803039
37 14 36.624570
82 11 40.944346
0 12 19.011033 60.821139
0 5 44.736478 74.518724
0 3 11.003606 2.635207
0 2 41.124884 71.723615
0 1 4.477475 99.132632
1 10 14.334723 25.852492
1 3 25.707974 67.206696
3 7 21.478873 26.350646
3 6 26.338504 84.083474
4 9 37.899736 67.810887
4 7 7.200785 34.002654
5 7 32.903606 50.888259
6 12 13.065496 17.806680
7 10 26.441374 83.781476
8 9 17.786227 40.897687
9 10 39.165661 48.311379
11 12 35.130014 78.290936
