12 13 45416 382 20
63 85 14.558835
89 66 27.253183
57 26 13.954853
63 41 44.156884
42 11 32.322769
72 60 14.897055
19 21 47.482374
67 52 1.354271
21 55 7.026955
12 47 40.754486
8 53 31.314246
52 75 30.722866
0 11 0.850944 22.763731
0 10 16.677098 125.595524
0 8 8.639670 83.987834
1 11 40.243530 54.497697
1 8 28.925578 69.923915
1 5 1.396915 18.624075
1 4 2.257203 143.633550
1 3 42.358773 46.730436
2 4 16.005780 23.686822
3 7 20.389210 19.728081
6 10 48.229037 63.113654
7 9 25.581732 71.293491
9 10 12.028468 9.104174
