14 16 2125 429 20
12 12 46.557001
25 65 44.164198
32 54 46.448046
42 97 19.762110
71 86 21.556708
83 71 43.760264
52 2 31.016945
63 71 36.626225
35 97 36.693054
54 84 25.689677
85 90 9.673610
20 37 47.287390
87 86 12.070579
18 36 37.679322
0 13 17.874685 45.805426
0 2 47.515402 74.021865
1 9 20.846323 38.151451
1 4 8.539637 88.236785
2 11 40.099593 23.705875
2 10 0.754630 122.337809
2 3 44.237777 70.416230
4 12 47.753804 20.803129
4 5 11.566778 32.117430
5 6 30.046378 139.060728
7 12 13.474710 46.035311
7 11 12.345832 80.918473
7 9 10.499695 15.843307
8 12 9.774546 93.583030
8 10 0.106087 58.350650
10 12 0.365815 8.716539
