13 17 49473 472 20
93 57 33.008271
41 71 25.375648
57 70 12.625093
91 58 47.560681
54 58 42.688027
38 57 26.901690
91 9 25.524834
79 51 28.189045
5 54 43.252279
16 79 16.610852
49 93 46.856704
37 14 48.430448
82 11 36.989309
0 12 26.044578 49.068703
0 5 10.151640 84.614001
0 3 20.938730 3.558608
0 2 1.872619 58.126480
0 1 6.239128 78.272389
1 10 1.648444 35.247624
1 3 9.839837 91.763036
3 7 43.410374 24.601364
3 6 25.715700 58.815058
4 9 35.391013 66.356734
4 7 23.979326 45.869207
5 7 15.242482 64.706753
6 12 6.268084 18.347660
7 10 16.115012 60.382915
8 9 6.925208 29.019947
9 10 4.997815 38.072502
11 12 30.026140 74.838563
