14 16 6285 725 20
12 12 9.852423
25 65 6.640113
32 54 38.478289
42 97 16.061408
71 86 30.109902
83 71 32.372273
52 2 19.853798
63 71 21.846487
35 97 7.933998
54 84 36.750842
85 90 9.630704
20 37 3.272697
87 86 26.650810
18 36 48.718165
0 13 11.953681 45.638147
0 2 3.849175 58.645975
1 9 11.050390 48.720184
1 4 0.012191 99.049763
2 11 36.390885 29.157960
2 10 5.479077 102.654313
2 3 24.376182 81.954123
4 12 23.496438 23.080876
4 5 31.980162 19.555240
5 6 39.378546 121.236830
7 12 10.246453 55.495339
7 11 17.895368 78.664556
7 9 29.684817 25.960067
8 12 41.723644 58.089718
8 10 31.297020 83.766552
10 12 25.198151 8.089361
