12 13 45666 263 20
63 85 16.229692
89 66 28.891887
57 26 3.436465
63 41 31.792605
42 11 23.623812
72 60 15.998977
19 21 14.937265
67 52 49.062022
21 55 37.521279
12 47 44.589251
8 53 6.860406
52 75 19.400285
0 11 49.276167 20.817405
0 10 33.577815 97.247826
0 8 24.569831 84.791072
1 11 25.840162 52.965683
1 8 26.154149 78.700081
1 5 49.662122 34.225227
1 4 1.418764 96.255869
1 3 10.810872 57.073918
2 4 3.739577 41.623830
3 7 14.338000 14.019832
6 10 13.326221 55.921419
7 9 6.255276 106.179723
9 10 11.067869 11.440443
